,0
394,-5.32032072144878
395,250.26365038523488
396,289.7936148018702
397,229.0201457051952
398,35.00470510664428
399,248.99389941257155
400,246.4903176051501
401,246.6050339625297
402,259.42919914123013
403,-1.5870633534074727
404,2.3525533797972855
405,261.64950285310647
406,38.14136089692707
407,282.21829924745157
408,228.1695843578922
409,269.7033289333667
410,234.28343229944136
411,229.0398879128686
412,260.82861172559694
413,242.6712649094659
414,282.61846787308093
415,242.24388639974708
416,254.69860989393715
417,246.31815524467342
418,-34.92918747231067
419,206.8421283106355
420,266.2956309525106
421,232.56611708320347
422,265.0911967751773
423,204.62935370521433
424,-15.94243272604876
425,277.19015333085713
426,225.67698304363392
427,260.3142587498146
428,248.40512881314683
429,204.81394383115799
430,-291.9242495441704
431,205.63893893056823
432,209.27589029832063
433,214.29151300394648
434,213.128114375707
435,-37.15717849684334
436,248.55419061214346
437,275.2758121872569
438,270.6340546134416
439,254.06364073105877
440,221.35369437424282
441,280.48379589416373
442,224.6337985303103
443,254.7809325209538
444,227.22509340031303
445,270.2922854651107
446,233.6130064108382
447,253.79772296940172
448,51.872858686628746
449,254.00148299956527
450,-12.506003572477923
451,5.008392016086276
452,265.76998849179716
453,247.6330626597461
454,261.86012927058937
455,-8.942481933737696
456,259.491852994567
457,239.53668990182658
458,51.8776274289101
459,287.7222529853423
460,7.144035568365837
461,30.371073181077833
462,251.19821204438298
463,277.2470951487786
464,277.1742893140322
465,7.887332779408111
466,289.0839520585786
467,273.1650688925039
468,256.1400552316146
469,289.3684749653592
470,271.18929518485373
471,126.5659644194643
472,274.0427435794661
473,235.0844095989356
474,235.64675454562706
475,239.7112422698249
476,220.26372232227556
477,250.61585881761079
478,239.53492657094773
479,236.22236645459546
480,252.2042659197167
481,210.47389463265645
482,168.90974473213942
483,3.0594888142824743
484,218.77260147089703
485,-9.180031975928792
486,200.0771063062549
487,261.80631129145456
488,251.10074552381823
489,244.6699587833048
490,280.8022630003969
491,268.5212514686521
492,-22.723899347637555
493,219.8460961932508
494,267.7183208984711
495,294.5000713840035
496,220.07972345943014
497,253.66879342192567
498,274.60879022941435
499,241.02767662780815
500,286.5899152771758
501,255.16523032741563
502,253.64462295450036
503,281.91261322351016
504,259.8480021089746
505,280.7343691030354
506,273.83234955427315
507,270.7240794397437
508,299.54936514083374
509,258.7841742602699
510,298.670203971839
511,238.8923204697829
512,250.05935557503645
513,258.21077393935764
514,266.0711224398711
515,261.0512631662889
516,270.7566641965391
517,209.3012222319013
518,255.13445709820132
519,167.78372010077817
520,12.585408520005615
521,-95.66605378536397
522,267.59216343804405
523,-82.88355764067548
524,-114.9966918853075
525,-216.54428645381398
526,-95.72508103532594
527,-120.04659042884916
528,305.69035507871405
529,235.86303444171176
530,276.0285893993458
531,-94.82889300914948
532,260.09816354622717
533,279.68199187080506
534,260.37774089374705
535,-132.64801819455744
536,243.40630478849118
537,-107.58882813040958
538,249.8366691096926
539,261.7266167050062
540,-160.60559437500243
541,260.30563218393115
542,282.174960878468
543,280.140906847651
544,13.129750734042062
545,268.7863263307719
546,304.8126003596252
547,-51.85456632801218
548,303.2616015250498
549,283.43451539126016
550,315.33696477728085
551,265.71724645021766
552,271.954265548482
553,251.27799974391309
554,250.7736314548595
555,268.6016165769134
556,289.0044604198975
557,283.10991622166364
558,289.47959344591857
559,261.9488654561211
560,257.8609677613588
561,259.7563244659771
562,255.27310748543948
563,293.9090448252344
564,264.30247872604093
565,209.04458756089218
566,291.17123892056065
567,279.6558697649664
568,268.33225737188593
569,280.68254114235253
570,278.55647144696394
571,247.43610686156157
572,282.6809121722629
573,257.98220314573643
574,268.88098568765184
575,286.73497046110924
576,279.24927023607984
577,247.31600382709485
578,291.03994001159873
579,280.88557641854527
580,277.88923530013005
581,275.5757231423056
582,272.84561540858283
583,239.5171522054867
584,252.95142817227287
585,-103.7491091349787
586,273.9448174528518
587,265.6592922827819
588,271.9707131564247
589,265.14035321403486
590,260.9512293841058
591,296.94533437899975
592,272.7113588383557
593,260.492484961131
594,277.1617306856327
595,252.0989679380965
596,261.55275304943723
597,26.034221662091838
